3,"Clonus Horror,The",Demetris McAlester,False
4,"O Brother,Where Art Thou?",Kristyn Douch,False
5,Red Lights (Feux rouges),Therine Mc Grath,687466479-4,False
6,Fury,Lianne Mayhow,327997224-8,False
7,Alone for Christmas,Aksel D'Ambrogi,147671554-8,False
8,Rudy,Toinette Grigor,009053782-3,False
9,"Twilight Samurai,The (Tasogare Seibei)",Katy Titcomb,False
10,Neighbors,Maire Rive,839509939-8,False
11,"Bête humaine,La",Margarette Beals,False
12,Romeo and Juliet,Arlana Harriott,108479409-8,False
13,Blue Valentine,Caro Derrett,761507515-7,False
14,Music for One Apartment and Six Drummers,Bridget Sinkinson,760023852-7,False
15,Celeste and Jesse Forever (Celeste & Jesse Forever),Theodosia Ottery,853725553-X,False
16,Before Midnight,Dermot Cotterel,621321019-9,False
17,Solo,Artie MacCafferky,190736999-6,False
18,Valley of Head Hunters,Yorker Filyaev,757057008-1,False
19,"She No Longer Talks,She Shoots",Welch Goldberg,False
20,BloodRayne,Andi Lithgow,947110857-8,False
21,Disco Dancer,Isabelita Janway,706987711-0,False
22,Firestarter,Tilda Schirak,702450665-2,False
23,Lisa Picard is Famous (a.k.a. Famous),Kathye Morphew,066419203-3,False
24,Sunday,Terrel McGlone,855244339-2,False
25,Around the World in 80 Days,Rosalinda Jeppe,694337852-X,False
26,Ronal the Barbarian,Pieter Tesche,175498085-6,False
27,Pianomania,Chloe Eacott,825581127-3,False
28,David Holzman's Diary,Shanda Slinn,688897414-6,False
29,There's Always Tomorrow,Teresita MacGorman,486923723-7,False
30,Night Train,Maximilianus Bernhard,946155190-8,False
31,Adam and Dog,Celene Penni,080293680-6,False
32,"Werewolf,The",Tildi O'Nions,False
33,Pure Country,Lynea Barroux,965895175-9,False
34,"Manitou,The",Ash Fenech,False
35,Dark Journey,Jannelle Petracci,680987525-5,False
36,Emergo (Apartment 143),Marlo Eggleson,996833582-7,False
37,Hoffman,Violante Corston,836599539-5,False
38,Without Warning,Elisabeth Truce,506857116-4,False
39,Crossfire,Winona Sousa,400380661-1,False
40,Toy Story of Terror,Lurline Sitlinton,782203582-7,False
41,Come See the Paradise,Katti Tarbath,010883385-2,False
42,Together (Han ni Zai Yiki),Enrico Knewstub,351893527-5,False
43,Tokyo Chorus (Tôkyô no kôrasu),Koral Betteriss,647856181-X,False
44,Il cappotto di legno,Bryn Yakushkin,378781277-6,False
45,Sleepwalk with Me,Camellia Yurchishin,317487160-3,False
46,Makai Tensho: Samurai Reincarnation (Makai tenshô),Kaiser Walling,295259089-3,False
47,Shameless (Maskeblomstfamilien ),Val Imlach,550984259-8,False
48,Shadrach,Serene Truelock,775348639-X,False
49,Idle Hands,Stanly Rix,928044347-X,False
50,Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14),Anselm Rookesby,877586804-0,False
51,Breaking the Girls,Auguste Beamand,209842472-8,False
52,Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie),Maggy Etteridge,852710533-0,False
53,Charlie's Country,Felecia Linggood,622707076-9,False
54,"Profession of Arms,The (Il mestiere delle armi)",Matty Bennen,False
55,Man of the World,Cristal Popple,907696184-0,False
56,"Man in the Iron Mask,The",Odele Townes,False
57,"Irene,Go Home! (Irena do domu!)",Nerissa Burniston,False
58,Port of Shadows (Quai des brumes),Foss Witherspoon,153471557-6,False
59,Paradise: Love,Dyna Marlin,685433686-4,False
60,Hiding Out,Aluin Seeviour,765474577-X,False
61,Love Wrecked,Yorgos Perchard,914768976-5,False
62,Breakheart Pass,Eleanora Charrette,631671691-5,False
63,Middle of Nowhere,Keeley Rothermel,781310903-1,False
64,Libel,Marcello Barlace,348246917-2,False
65,"French Lieutenant's Woman,The",Frederik Cattonnet,False
66,Clonehunter,Alec Breens,055981846-7,False
67,Killer McCoy,Kory Kelemen,072719334-1,False
68,Chennai Express,Tilda Splain,359094843-4,False
69,Animal Love (Tierische Liebe),Philippa Nodes,184005836-6,False
70,Out On A Limb,Nap Donaldson,010664448-3,False
71,"Divo,Il",Isadore Witheridge,False
72,Fried Green Tomatoes,Mureil Chetham,465169140-4,False
73,"Serbian Film,A (Srpski film)",Brittaney De Matteis,False
74,Free to Play,Bunnie Agglione,103497842-X,False
75,Han Gong-ju,Mason Erb,664049761-1,False
76,"Man Who Saves the World,The (Dünyayi Kurtaran Adam)",Andeee Kennington,False
77,Dr. Wai in the Scriptures with No Words (Mao xian wang),Park MacLeod,913504073-4,False
78,Ju-on: The Grudge 2,Nichols Leatt,731280409-8,False
79,Tales from the Hood,Kitty Dimitriades,132513180-6,False
80,Hollywood Homicide,Keelia Brankley,038436263-X,False
81,Rock-A-Doodle,Claudie Jillings,414946418-9,False
82,Lupin III: Sweet Lost Night (Rupan Sansei: Sweet Lost Night),Dedie Pellitt,386864840-2,False
83,Just Imagine,Sandro Buzine,948491830-1,False
84,"Snowman,The",Fredra Salter,False
85,One Magic Christmas,Lilah Hendrik,818059676-1,False
86,Timecop,Blayne Linfoot,508789747-9,False
87,Zus & Zo,Catherine Dudny,221277738-8,False
88,Skhizein,Corinna Archard,141851623-6,False
89,"Blue Max,The",Archibald Sansum,False
